Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6093000e+00                  1.9950330e-13                  1.9950330e-13
2.6094000e+00                  2.2866897e-13                  2.2866897e-13
2.6095000e+00                  2.6549889e-13                  2.6549889e-13
2.6096000e+00                  3.1011595e-13                  3.1011595e-13
2.6097000e+00                  3.6215566e-13                  3.6215566e-13
2.6098000e+00                  4.2067871e-13                  4.2067871e-13
2.6099000e+00                  4.8394226e-13                  4.8394226e-13
2.6100000e+00                  5.4920289e-13                  5.4920289e-13
2.6101000e+00                  6.1287915e-13                  6.1287915e-13
2.6102000e+00                  6.7140370e-13                  6.7140370e-13
2.6103000e+00                  7.2288459e-13                  7.2288459e-13
2.6104000e+00                  7.6931721e-13                  7.6931721e-13
2.6105000e+00                  8.1868429e-13                  8.1868429e-13
2.6106000e+00                  8.8602268e-13                  8.8602268e-13
2.6107000e+00                  9.9255670e-13                  9.9255670e-13
2.6108000e+00                  1.1623486e-12                  1.1623486e-12
2.6109000e+00                  1.4165634e-12                  1.4165634e-12
2.6110000e+00                  1.7662752e-12                  1.7662752e-12
2.6111000e+00                  2.2055653e-12                  2.2055653e-12
2.6112000e+00                  2.7071810e-12                  2.7071810e-12
2.6113000e+00                  3.2229116e-12                  3.2229116e-12
2.6114000e+00                  3.6898535e-12                  3.6898535e-12
2.6115000e+00                  4.0419778e-12                  4.0419778e-12
2.6116000e+00                  4.2244054e-12                  4.2244054e-12
2.6117000e+00                  4.2063902e-12                  4.2063902e-12
2.6118000e+00                  3.9889705e-12                  3.9889705e-12
2.6119000e+00                  3.6048089e-12                  3.6048089e-12
2.6120000e+00                  3.1103446e-12                  3.1103446e-12
2.6121000e+00                  2.5729371e-12                  2.5729371e-12
2.6122000e+00                  2.0570806e-12                  2.0570806e-12
2.6123000e+00                  1.6135016e-12                  1.6135016e-12
2.6124000e+00                  1.2733411e-12                  1.2733411e-12
2.6125000e+00                  1.0475539e-12                  1.0475539e-12
2.6126000e+00                  9.3011178e-13                  9.3011178e-13
2.6127000e+00                  9.0308325e-13                  9.0308325e-13
2.6128000e+00                  9.4210013e-13                  9.4210013e-13
2.6129000e+00                  1.0215785e-12                  1.0215785e-12
2.6130000e+00                  1.1197261e-12                  1.1197261e-12
2.6131000e+00                  1.2234892e-12                  1.2234892e-12
2.6132000e+00                  1.3331707e-12                  1.3331707e-12
2.6133000e+00                  1.4658039e-12                  1.4658039e-12
2.6134000e+00                  1.6558546e-12                  1.6558546e-12
2.6135000e+00                  1.9517870e-12                  1.9517870e-12
2.6136000e+00                  2.4075927e-12                  2.4075927e-12
2.6137000e+00                  3.0695802e-12                  3.0695802e-12
2.6138000e+00                  3.9603854e-12                  3.9603854e-12
2.6139000e+00                  5.0639165e-12                  5.0639165e-12
2.6140000e+00                  6.3161220e-12                  6.3161220e-12
2.6141000e+00                  7.6062574e-12                  7.6062574e-12
2.6142000e+00                  8.7911410e-12                  8.7911410e-12
2.6143000e+00                  9.7209468e-12                  9.7209468e-12
2.6144000e+00                  1.0270613e-11                  1.0270613e-11
2.6145000e+00                  1.0367917e-11                  1.0367917e-11
2.6146000e+00                  1.0009406e-11                  1.0009406e-11
2.6147000e+00                  9.2590992e-12                  9.2590992e-12
2.6148000e+00                  8.2308238e-12                  8.2308238e-12
2.6149000e+00                  7.0606231e-12                  7.0606231e-12
2.6150000e+00                  5.8784095e-12                  5.8784095e-12
2.6151000e+00                  4.7869446e-12                  4.7869446e-12
2.6152000e+00                  3.8522134e-12                  3.8522134e-12
2.6153000e+00                  3.1045414e-12                  3.1045414e-12
2.6154000e+00                  2.5465555e-12                  2.5465555e-12
2.6155000e+00                  2.1633313e-12                  2.1633313e-12
2.6156000e+00                  1.9314039e-12                  1.9314039e-12
2.6157000e+00                  1.8254454e-12                  1.8254454e-12
2.6158000e+00                  1.8230224e-12                  1.8230224e-12
2.6159000e+00                  1.9083433e-12                  1.9083433e-12
2.6160000e+00                  2.0754589e-12                  2.0754589e-12
2.6161000e+00                  2.3306690e-12                  2.3306690e-12
2.6162000e+00                  2.6935186e-12                  2.6935186e-12
2.6163000e+00                  3.1960274e-12                  3.1960274e-12
2.6164000e+00                  3.8805162e-12                  3.8805162e-12
2.6165000e+00                  4.7972230e-12                  4.7972230e-12
2.6166000e+00                  6.0033842e-12                  6.0033842e-12
2.6167000e+00                  7.5651918e-12                  7.5651918e-12
2.6168000e+00                  9.5626414e-12                  9.5626414e-12
2.6169000e+00                  1.2094648e-11                  1.2094648e-11
2.6170000e+00                  1.5278501e-11                  1.5278501e-11
2.6171000e+00                  1.9235446e-11                  1.9235446e-11
2.6172000e+00                  2.4055485e-11                  2.4055485e-11
2.6173000e+00                  2.9741378e-11                  2.9741378e-11
2.6174000e+00                  3.6143831e-11                  3.6143831e-11
2.6175000e+00                  4.2912278e-11                  4.2912278e-11
2.6176000e+00                  4.9491161e-11                  4.9491161e-11
2.6177000e+00                  5.5183316e-11                  5.5183316e-11
2.6178000e+00                  5.9279394e-11                  5.9279394e-11
2.6179000e+00                  6.1222879e-11                  6.1222879e-11
2.6180000e+00                  6.0758156e-11                  6.0758156e-11
2.6181000e+00                  5.8007286e-11                  5.8007286e-11
