Scanning frequency (eV)      Vibronic intensity (a.u.)      Total intensity (a.u.)
2.6159000e+00                  1.0036518e-34                  1.0036518e-34
2.6160000e+00                  1.0802648e-34                  1.0802648e-34
2.6161000e+00                  1.1725777e-34                  1.1725777e-34
2.6162000e+00                  1.2870673e-34                  1.2870673e-34
2.6163000e+00                  1.4318663e-34                  1.4318663e-34
2.6164000e+00                  1.6142303e-34                  1.6142303e-34
2.6165000e+00                  1.8367606e-34                  1.8367606e-34
2.6166000e+00                  2.0937796e-34                  2.0937796e-34
2.6167000e+00                  2.3697495e-34                  2.3697495e-34
2.6168000e+00                  2.6412834e-34                  2.6412834e-34
2.6169000e+00                  2.8830534e-34                  2.8830534e-34
2.6170000e+00                  3.0761553e-34                  3.0761553e-34
2.6171000e+00                  3.2160018e-34                  3.2160018e-34
2.6172000e+00                  3.3163965e-34                  3.3163965e-34
2.6173000e+00                  3.4075014e-34                  3.4075014e-34
2.6174000e+00                  3.5277202e-34                  3.5277202e-34
2.6175000e+00                  3.7121990e-34                  3.7121990e-34
2.6176000e+00                  3.9824873e-34                  3.9824873e-34
2.6177000e+00                  4.3418977e-34                  4.3418977e-34
2.6178000e+00                  4.7789705e-34                  4.7789705e-34
2.6179000e+00                  5.2778486e-34                  5.2778486e-34
2.6180000e+00                  5.8307985e-34                  5.8307985e-34
2.6181000e+00                  6.4463243e-34                  6.4463243e-34
2.6182000e+00                  7.1475180e-34                  7.1475180e-34
2.6183000e+00                  7.9594215e-34                  7.9594215e-34
2.6184000e+00                  8.8897285e-34                  8.8897285e-34
2.6185000e+00                  9.9115886e-34                  9.9115886e-34
2.6186000e+00                  1.0958181e-33                  1.0958181e-33
2.6187000e+00                  1.1934977e-33                  1.1934977e-33
2.6188000e+00                  1.2748262e-33                  1.2748262e-33
2.6189000e+00                  1.3340476e-33                  1.3340476e-33
2.6190000e+00                  1.3718074e-33                  1.3718074e-33
2.6191000e+00                  1.3958634e-33                  1.3958634e-33
2.6192000e+00                  1.4191266e-33                  1.4191266e-33
2.6193000e+00                  1.4555405e-33                  1.4555405e-33
2.6194000e+00                  1.5153210e-33                  1.5153210e-33
2.6195000e+00                  1.6015266e-33                  1.6015266e-33
2.6196000e+00                  1.7095393e-33                  1.7095393e-33
2.6197000e+00                  1.8298936e-33                  1.8298936e-33
2.6198000e+00                  1.9534319e-33                  1.9534319e-33
2.6199000e+00                  2.0766193e-33                  2.0766193e-33
2.6200000e+00                  2.2045838e-33                  2.2045838e-33
2.6201000e+00                  2.3502541e-33                  2.3502541e-33
2.6202000e+00                  2.5295925e-33                  2.5295925e-33
2.6203000e+00                  2.7546694e-33                  2.7546694e-33
2.6204000e+00                  3.0274293e-33                  3.0274293e-33
2.6205000e+00                  3.3369032e-33                  3.3369032e-33
2.6206000e+00                  3.6613183e-33                  3.6613183e-33
2.6207000e+00                  3.9745705e-33                  3.9745705e-33
2.6208000e+00                  4.2547238e-33                  4.2547238e-33
2.6209000e+00                  4.4913679e-33                  4.4913679e-33
2.6210000e+00                  4.6891632e-33                  4.6891632e-33
2.6211000e+00                  4.8664765e-33                  4.8664765e-33
2.6212000e+00                  5.0499371e-33                  5.0499371e-33
2.6213000e+00                  5.2671666e-33                  5.2671666e-33
2.6214000e+00                  5.5402918e-33                  5.5402918e-33
2.6215000e+00                  5.8821143e-33                  5.8821143e-33
2.6216000e+00                  6.2955013e-33                  6.2955013e-33
2.6217000e+00                  6.7753893e-33                  6.7753893e-33
2.6218000e+00                  7.3122921e-33                  7.3122921e-33
2.6219000e+00                  7.8963848e-33                  7.8963848e-33
2.6220000e+00                  8.5216392e-33                  8.5216392e-33
2.6221000e+00                  9.1895395e-33                  9.1895395e-33
2.6222000e+00                  9.9113979e-33                  9.9113979e-33
2.6223000e+00                  1.0707640e-32                  1.0707640e-32
2.6224000e+00                  1.1602488e-32                  1.1602488e-32
2.6225000e+00                  1.2613877e-32                  1.2613877e-32
2.6226000e+00                  1.3741153e-32                  1.3741153e-32
2.6227000e+00                  1.4955836e-32                  1.4955836e-32
2.6228000e+00                  1.6201886e-32                  1.6201886e-32
2.6229000e+00                  1.7409896e-32                  1.7409896e-32
2.6230000e+00                  1.8524337e-32                  1.8524337e-32
2.6231000e+00                  1.9536033e-32                  1.9536033e-32
2.6232000e+00                  2.0506542e-32                  2.0506542e-32
2.6233000e+00                  2.1570498e-32                  2.1570498e-32
2.6234000e+00                  2.2908050e-32                  2.2908050e-32
2.6235000e+00                  2.4691405e-32                  2.4691405e-32
2.6236000e+00                  2.7022598e-32                  2.7022598e-32
2.6237000e+00                  2.9888029e-32                  2.9888029e-32
2.6238000e+00                  3.3153299e-32                  3.3153299e-32
2.6239000e+00                  3.6608198e-32                  3.6608198e-32
2.6240000e+00                  4.0050239e-32                  4.0050239e-32
2.6241000e+00                  4.3374956e-32                  4.3374956e-32
2.6242000e+00                  4.6632471e-32                  4.6632471e-32
2.6243000e+00                  5.0019028e-32                  5.0019028e-32
2.6244000e+00                  5.3798216e-32                  5.3798216e-32
2.6245000e+00                  5.8179484e-32                  5.8179484e-32
2.6246000e+00                  6.3206688e-32                  6.3206688e-32
2.6247000e+00                  6.8712988e-32                  6.8712988e-32
2.6248000e+00                  7.4375423e-32                  7.4375423e-32
2.6249000e+00                  7.9859381e-32                  7.9859381e-32
2.6250000e+00                  8.4997608e-32                  8.4997608e-32
2.6251000e+00                  8.9921813e-32                  8.9921813e-32
2.6252000e+00                  9.5073364e-32                  9.5073364e-32
2.6253000e+00                  1.0106489e-31                  1.0106489e-31
2.6254000e+00                  1.0843114e-31                  1.0843114e-31
2.6255000e+00                  1.1736683e-31                  1.1736683e-31
2.6256000e+00                  1.2757218e-31                  1.2757218e-31
2.6257000e+00                  1.3829581e-31                  1.3829581e-31
2.6258000e+00                  1.4858752e-31                  1.4858752e-31
2.6259000e+00                  1.5767811e-31                  1.5767811e-31
2.6260000e+00                  1.6533363e-31                  1.6533363e-31
2.6261000e+00                  1.7202249e-31                  1.7202249e-31
2.6262000e+00                  1.7879784e-31                  1.7879784e-31
2.6263000e+00                  1.8691405e-31                  1.8691405e-31
2.6264000e+00                  1.9731729e-31                  1.9731729e-31
2.6265000e+00                  2.1022148e-31                  2.1022148e-31
2.6266000e+00                  2.2496543e-31                  2.2496543e-31
2.6267000e+00                  2.4024168e-31                  2.4024168e-31
2.6268000e+00                  2.5463235e-31                  2.5463235e-31
2.6269000e+00                  2.6724612e-31                  2.6724612e-31
2.6270000e+00                  2.7818900e-31                  2.7818900e-31
2.6271000e+00                  2.8865351e-31                  2.8865351e-31
2.6272000e+00                  3.0056237e-31                  3.0056237e-31
2.6273000e+00                  3.1589070e-31                  3.1589070e-31
2.6274000e+00                  3.3593420e-31                  3.3593420e-31
2.6275000e+00                  3.6082096e-31                  3.6082096e-31
2.6276000e+00                  3.8946784e-31                  3.8946784e-31
2.6277000e+00                  4.1999794e-31                  4.1999794e-31
2.6278000e+00                  4.5044736e-31                  4.5044736e-31
2.6279000e+00                  4.7947860e-31                  4.7947860e-31
2.6280000e+00                  5.0682971e-31                  5.0682971e-31
2.6281000e+00                  5.3335023e-31                  5.3335023e-31
2.6282000e+00                  5.6064651e-31                  5.6064651e-31
2.6283000e+00                  5.9050402e-31                  5.9050402e-31
2.6284000e+00                  6.2431493e-31                  6.2431493e-31
2.6285000e+00                  6.6270368e-31                  6.6270368e-31
2.6286000e+00                  7.0544171e-31                  7.0544171e-31
2.6287000e+00                  7.5163242e-31                  7.5163242e-31
2.6288000e+00                  8.0007944e-31                  8.0007944e-31
2.6289000e+00                  8.4974219e-31                  8.4974219e-31
2.6290000e+00                  9.0020854e-31                  9.0020854e-31
2.6291000e+00                  9.5212629e-31                  9.5212629e-31
